Origin,Destination,Date,Sender's Name,Sender City,Sender State,Total Pieces,Actual Wt,Volumetric Wt,Chargeable Wt,Paperwork,Sender Date,Recipient Name,Recipient City,Receiver State,Value Added Services,Consignment No,Expiry Date,Booking Code,Receiver Name,Receive Date,Tariff,VAS Charges,Total Amount,Mode,Risk Surcharge,Mode of Payment,Nature of Consignment
Shimla,Ranchi,10-06-2025,Azad Khanna,Shimla,Himachal Pradesh,4,6.94,7.1,7.1,Yes,10-06-2025,Quincy Chand,Ranchi,Jharkhand,None,DTDC32904088,10-07-2025,BR247,Quincy Chand,14-06-2025,585.98,0,585.98,Express,Carrier,Cash,Non-Dox
Kolkata,Ranchi,05-07-2025,Banjeet Dua,Kolkata,West Bengal,1,8.52,11.22,11.22,Yes,05-07-2025,Rajan-Chakraborty,Ranchi,Jharkhand,None,DTDC55783960,04-08-2025,BR961,Rajan-Chakraborty,07-07-2025,525.22,0,525.22,Surface,Carrier,Cash,Dox
Jaipur,Raipur,08-06-2025,Netra Batra,Jaipur,Rajasthan,4,7.21,7.74,7.74,Yes,08-06-2025,Anita Ramesh,Raipur,Chhattisgarh,Insurance,DTDC45489136,08-07-2025,BR261,Anita Ramesh,11-06-2025,648.66,69.18,717.84,Express,Carrier,Cash,Dox
Amritsar,Mumbai,15-06-2025,Bakhshi Barad,Amritsar,Punjab,4,5.78,7.14,7.14,No,15-06-2025,Anay Radhakrishnan,Mumbai,Maharashtra,COD,DTDC62221847,15-07-2025,BR972,Anay Radhakrishnan,17-06-2025,352.44,80.59,433.03,Surface,Carrier,Cash,Dox
Srinagar,Kochi,29-06-2025,Dubey Inc,Srinagar,Jammu & Kashmir,4,6.9,7.75,7.75,No,29-06-2025,"Chacko, Goel and Kanda",Kochi,Kerala,COD,DTDC78621878,29-07-2025,BR963,"Chacko, Goel and Kanda",01-07-2025,604.77,95.48,700.25,Express,Carrier,Cash,Non-Dox
Shimla,Jaipur,10-06-2025,Charita Bobal,Shimla,Himachal Pradesh,2,7.97,10.85,10.85,No,10-06-2025,Kashish Sani,Jaipur,Rajasthan,COD,DTDC89246813,10-07-2025,BR613,Kashish Sani,13-06-2025,993.43,62.29,1055.72,Express,Carrier,Cash,Dox
Shimla,Ahmedabad,27-06-2025,Avni Mital,Shimla,Himachal Pradesh,1,9.25,12.07,12.07,Yes,27-06-2025,"D’Alia, Kulkarni and Nayar",Ahmedabad,Gujarat,COD,DTDC53250819,27-07-2025,BR472,"D’Alia, Kulkarni and Nayar",30-06-2025,488.96,123.53,612.49,Surface,Carrier,Card,Non-Dox
Shimla,Delhi,25-06-2025,Yamini Yadav,Shimla,Himachal Pradesh,5,10.59,12.43,12.43,No,25-06-2025,"Lanka, Loke and Sani",Delhi,Delhi,COD,DTDC93327952,25-07-2025,BR853,"Lanka, Loke and Sani",26-06-2025,549.09,82.61,631.7,Surface,Carrier,Card,Non-Dox
Coimbatore,Raipur,15-06-2025,Utkarsh Deshpande,Coimbatore,Tamil Nadu,1,2.96,5.46,5.46,Yes,15-06-2025,"Brahmbhatt, Dayal and Ramakrishnan",Raipur,Chhattisgarh,COD,DTDC69763996,15-07-2025,BR558,"Brahmbhatt, Dayal and Ramakrishnan",16-06-2025,222.98,47.37,270.35,Surface,Carrier,Cash,Non-Dox
Bangalore,Coimbatore,26-06-2025,Bina Krish,Bangalore,Karnataka,5,4.64,7.42,7.42,Yes,26-06-2025,"Sandhu, Chakrabarti and Luthra",Coimbatore,Tamil Nadu,COD,DTDC46959289,26-07-2025,BR738,"Sandhu, Chakrabarti and Luthra",01-07-2025,349.59,24.77,374.36,Surface,Carrier,Card,Non-Dox
Thiruvananthapuram,Vizag,21-06-2025,"Chand, Sheth and Chaudhuri",Thiruvananthapuram,Kerala,5,9.07,11.08,11.08,No,21-06-2025,Reyansh Sundaram,Vizag,Andhra Pradesh,COD,DTDC95276509,21-07-2025,BR070,Reyansh Sundaram,24-06-2025,473.41,30.11,503.52,Surface,Carrier,Card,Non-Dox
Jaipur,Amritsar,01-07-2025,"Suri, Wable and Chowdhury",Jaipur,Rajasthan,1,2.06,2.2,2.2,Yes,01-07-2025,"Lata, Dyal and Basu",Amritsar,Punjab,None,DTDC96369546,31-07-2025,BR690,"Lata, Dyal and Basu",04-07-2025,106.09,0,106.09,Surface,Carrier,Card,Dox
Lucknow,Nagpur,23-06-2025,Sundaram and Sons,Lucknow,Uttar Pradesh,1,2.03,2.86,2.86,Yes,23-06-2025,Gagan Konda,Nagpur,Maharashtra,None,DTDC95276875,23-07-2025,BR960,Gagan Konda,28-06-2025,136.62,0,136.62,Surface,Carrier,Cash,Dox
Srinagar,Mumbai,16-06-2025,Yogi-Misra,Srinagar,Jammu & Kashmir,5,5.68,6.34,6.34,Yes,16-06-2025,Lanka Group,Mumbai,Maharashtra,COD,DTDC23518330,16-07-2025,BR600,Lanka Group,21-06-2025,581.48,115.05,696.53,Express,Carrier,Card,Non-Dox
Srinagar,Delhi,07-06-2025,Gaurika Raja,Srinagar,Jammu & Kashmir,3,0.97,3.69,3.69,Yes,07-06-2025,"Devi, Mital and Taneja",Delhi,Delhi,COD,DTDC00029850,07-07-2025,BR617,"Devi, Mital and Taneja",10-06-2025,158.59,24.4,182.99,Surface,Carrier,Cash,Dox
Nashik,Bhopal,07-06-2025,Odika Jayaraman,Nashik,Maharashtra,1,8.8,9.59,9.59,Yes,07-06-2025,Zashil Thaman,Bhopal,Madhya Pradesh,None,DTDC40813382,07-07-2025,BR851,Zashil Thaman,12-06-2025,438.78,0,438.78,Surface,Carrier,Cash,Non-Dox
Kolkata,Srinagar,15-06-2025,Prakash Group,Kolkata,West Bengal,3,9.31,11.48,11.48,No,15-06-2025,"Kaur, Mitra and Dhar",Srinagar,Jammu & Kashmir,COD,DTDC20237797,15-07-2025,BR624,"Kaur, Mitra and Dhar",17-06-2025,563.73,37.24,600.97,Surface,Carrier,Card,Dox
Aurangabad,Kochi,18-06-2025,Rajata Kalla,Aurangabad,Maharashtra,1,3.39,5.58,5.58,No,18-06-2025,Gautami Mand,Kochi,Kerala,Insurance,DTDC04591220,18-07-2025,BR142,Gautami Mand,19-06-2025,338.11,78.6,416.71,Air Cargo,Carrier,Cash,Non-Dox
Vijayawada,Bhopal,17-06-2025,Nori Group,Vijayawada,Andhra Pradesh,1,11.05,12.76,12.76,Yes,17-06-2025,Peter Lala,Bhopal,Madhya Pradesh,COD,DTDC46067807,17-07-2025,BR323,Peter Lala,18-06-2025,544.66,63.5,608.16,Surface,Carrier,Cash,Dox
Raipur,Lucknow,09-06-2025,Nagi Ltd,Raipur,Chhattisgarh,2,0.63,3.33,3.33,No,09-06-2025,Michael Char,Lucknow,Uttar Pradesh,None,DTDC56483293,09-07-2025,BR853,Michael Char,13-06-2025,149.13,0,149.13,Surface,Carrier,Cash,Non-Dox
Vizag,Raipur,22-06-2025,"Goel, Saha and Magar",Vizag,Andhra Pradesh,1,3.3,5.23,5.23,Yes,22-06-2025,Lakshit Patil,Raipur,Chhattisgarh,Express,DTDC17368358,22-07-2025,BR051,Lakshit Patil,23-06-2025,236.04,36.69,272.73,Surface,Carrier,Cash,Non-Dox
Dehradun,Thiruvananthapuram,10-06-2025,Sangha Group,Dehradun,Uttarakhand,3,10.37,11.06,11.06,Yes,10-06-2025,Madhavi Sawhney,Thiruvananthapuram,Kerala,COD,DTDC15786456,10-07-2025,BR067,Madhavi Sawhney,13-06-2025,470.7,48.57,519.27,Surface,Carrier,Cash,Non-Dox
Meerut,Chandigarh,10-06-2025,Sai Bail,Meerut,Uttar Pradesh,1,7.37,8.76,8.76,Yes,10-06-2025,Jairaj Om,Chandigarh,Chandigarh,COD,DTDC11899292,10-07-2025,BR902,Jairaj Om,14-06-2025,562.13,48.05,610.18,Air Cargo,Carrier,Cash,Dox
Srinagar,Vijayawada,28-06-2025,Kalita Inc,Srinagar,Jammu & Kashmir,4,9.41,11.97,11.97,Yes,28-06-2025,Singh Group,Vijayawada,Andhra Pradesh,Express,DTDC70615493,28-07-2025,BR719,Singh Group,29-06-2025,733.28,108.44,841.72,Air Cargo,Carrier,Cash,Dox
Shimla,Lucknow,01-07-2025,Mistry Ltd,Shimla,Himachal Pradesh,3,8.88,10.02,10.02,No,01-07-2025,Sachi Nagy,Lucknow,Uttar Pradesh,COD,DTDC09816769,31-07-2025,BR129,Sachi Nagy,06-07-2025,425.88,128.42,554.3,Surface,Carrier,Cash,Non-Dox
Kochi,Chandigarh,13-06-2025,Zashil Vora,Kochi,Kerala,1,11.54,14.24,14.24,No,13-06-2025,"Nagi, Mahajan and Parmer",Chandigarh,Chandigarh,COD,DTDC84141234,13-07-2025,BR626,"Nagi, Mahajan and Parmer",14-06-2025,961.17,136.99,1098.16,Air Cargo,Carrier,Cash,Non-Dox
Thiruvananthapuram,Vijayawada,28-06-2025,Subramaniam Inc,Thiruvananthapuram,Kerala,4,1.02,3.35,3.35,No,28-06-2025,Leena Gandhi,Vijayawada,Andhra Pradesh,COD,DTDC60478597,28-07-2025,BR349,Leena Gandhi,30-06-2025,220.73,111.4,332.13,Air Cargo,Carrier,Cash,Non-Dox
Aurangabad,Ludhiana,08-06-2025,Chakradhar Palla,Aurangabad,Maharashtra,3,1.77,2.55,2.55,Yes,08-06-2025,Khare-Sant,Ludhiana,Punjab,COD,DTDC75922125,08-07-2025,BR473,Khare-Sant,11-06-2025,117.63,129.06,246.69,Surface,Carrier,Card,Non-Dox
Dehradun,Kochi,10-06-2025,Thakur-Subramaniam,Dehradun,Uttarakhand,3,11.81,12.24,12.24,No,10-06-2025,"Radhakrishnan, Bansal and Murty",Kochi,Kerala,COD,DTDC89372479,10-07-2025,BR942,"Radhakrishnan, Bansal and Murty",12-06-2025,971.1,126.8,1097.9,Express,Carrier,Cash,Dox
Jaipur,Ludhiana,06-06-2025,Suresh and Sons,Jaipur,Rajasthan,1,10.73,10.99,10.99,Yes,06-06-2025,Vidhi Saha,Ludhiana,Punjab,None,DTDC79221396,06-07-2025,BR284,Vidhi Saha,08-06-2025,472.65,0,472.65,Surface,Carrier,Cash,Dox
Nagpur,Mumbai,16-06-2025,"Taneja, Bawa and Kala",Nagpur,Maharashtra,3,10.36,12.32,12.32,No,16-06-2025,Basak Inc,Mumbai,Maharashtra,COD,DTDC56226381,16-07-2025,BR902,Basak Inc,19-06-2025,1050.73,101.96,1152.69,Express,Carrier,Card,Non-Dox
Mumbai,Lucknow,25-06-2025,Nadkarni-Borah,Mumbai,Maharashtra,4,1.5,2.04,2.04,Yes,25-06-2025,Ansh Chander,Lucknow,Uttar Pradesh,COD,DTDC44047513,25-07-2025,BR510,Ansh Chander,28-06-2025,94.21,65.52,159.73,Surface,Carrier,Cash,Dox
Bangalore,Ludhiana,24-06-2025,Ekta Gola,Bangalore,Karnataka,4,3.46,5.79,5.79,Yes,24-06-2025,Keer-Brar,Ludhiana,Punjab,Insurance,DTDC27436115,24-07-2025,BR312,Keer-Brar,27-06-2025,240,98.02,338.02,Surface,Carrier,Cash,Non-Dox
Raipur,Meerut,06-06-2025,Dube Inc,Raipur,Chhattisgarh,1,1.86,2.25,2.25,No,06-06-2025,Robert Karpe,Meerut,Uttar Pradesh,COD,DTDC98834436,06-07-2025,BR833,Robert Karpe,10-06-2025,109.59,35.97,145.56,Surface,Carrier,Card,Dox
Guwahati,Jaipur,29-06-2025,Bora Ltd,Guwahati,Assam,3,10.14,10.54,10.54,No,29-06-2025,Date-Pingle,Jaipur,Rajasthan,COD,DTDC06899672,29-07-2025,BR465,Date-Pingle,01-07-2025,708.7,56.49,765.19,Air Cargo,Carrier,Card,Non-Dox
Ludhiana,Raipur,15-06-2025,"Deo, Saha and Chakrabarti",Ludhiana,Punjab,5,1.9,4.39,4.39,No,15-06-2025,Lanka PLC,Raipur,Chhattisgarh,Express,DTDC44250234,15-07-2025,BR114,Lanka PLC,18-06-2025,196.32,26.82,223.14,Surface,Carrier,Card,Non-Dox
Surat,Shimla,21-06-2025,Harrison Mangal,Surat,Gujarat,2,9.11,11.55,11.55,Yes,21-06-2025,Urvashi Biswas,Shimla,Himachal Pradesh,COD,DTDC01366891,21-07-2025,BR241,Urvashi Biswas,25-06-2025,517.15,20.16,537.31,Surface,Carrier,Cash,Non-Dox
Coimbatore,Amritsar,04-07-2025,"Sibal, Khatri and Merchant",Coimbatore,Tamil Nadu,3,6.28,8.61,8.61,Yes,04-07-2025,Darpan Tripathi,Amritsar,Punjab,None,DTDC72944982,03-08-2025,BR224,Darpan Tripathi,05-07-2025,389.07,0,389.07,Surface,Carrier,Card,Dox
Pune,Coimbatore,25-06-2025,Menon-Merchant,Pune,Maharashtra,4,0.55,1.6,1.6,No,25-06-2025,Pandey and Sons,Coimbatore,Tamil Nadu,COD,DTDC00267758,25-07-2025,BR204,Pandey and Sons,27-06-2025,78.9,140.08,218.98,Surface,Carrier,Cash,Non-Dox
Aurangabad,Coimbatore,18-06-2025,"Khanna, Sekhon and Ratta",Aurangabad,Maharashtra,2,9.35,10.06,10.06,Yes,18-06-2025,Sachdeva-Barad,Coimbatore,Tamil Nadu,COD,DTDC48585141,18-07-2025,BR425,Sachdeva-Barad,22-06-2025,462.65,58.18,520.83,Surface,Carrier,Cash,Dox
Varanasi,Pune,19-06-2025,"Parmar, Swamy and Subramanian",Varanasi,Uttar Pradesh,1,2.24,3.56,3.56,Yes,19-06-2025,"Pathak, Sehgal and Bala",Pune,Maharashtra,COD,DTDC66938136,19-07-2025,BR356,"Pathak, Sehgal and Bala",22-06-2025,163.06,123.34,286.4,Surface,Carrier,Cash,Dox
Coimbatore,Patna,19-06-2025,Chameli Borde,Coimbatore,Tamil Nadu,4,9.21,10.94,10.94,No,19-06-2025,Choudhry-Chakrabarti,Patna,Bihar,COD,DTDC73061952,19-07-2025,BR734,Choudhry-Chakrabarti,21-06-2025,703.11,91.33,794.44,Air Cargo,Carrier,Card,Non-Dox
Jamshedpur,Ranchi,08-06-2025,Thaker Group,Jamshedpur,Jharkhand,5,10.67,11.77,11.77,No,08-06-2025,Aadi Roy,Ranchi,Jharkhand,COD,DTDC21758271,08-07-2025,BR298,Aadi Roy,09-06-2025,571.13,101.01,672.14,Surface,Carrier,Card,Dox
Patna,Indore,13-06-2025,Laksh Ratta,Patna,Bihar,2,4.91,6.83,6.83,No,13-06-2025,Thaman-Sarkar,Indore,Madhya Pradesh,COD,DTDC14147839,13-07-2025,BR723,Thaman-Sarkar,14-06-2025,279.38,77.97,357.35,Surface,Carrier,Cash,Dox
Kolkata,Agra,19-06-2025,Shanker Ltd,Kolkata,West Bengal,5,2.37,4.69,4.69,Yes,19-06-2025,Gupta-Sagar,Agra,Uttar Pradesh,Insurance,DTDC38048016,19-07-2025,BR115,Gupta-Sagar,22-06-2025,316.95,27.38,344.33,Air Cargo,Carrier,Card,Non-Dox
Surat,Delhi,18-06-2025,Kadakia LLC,Surat,Gujarat,4,0.47,2.23,2.23,Yes,18-06-2025,Deshpande LLC,Delhi,Delhi,Express,DTDC00424261,18-07-2025,BR374,Deshpande LLC,20-06-2025,205.9,37.77,243.67,Express,Carrier,Cash,Dox
Shimla,Bangalore,16-06-2025,Anne Group,Shimla,Himachal Pradesh,4,5.27,7,7,Yes,16-06-2025,Siddharth Bahri,Bangalore,Karnataka,Express,DTDC76748587,16-07-2025,BR426,Siddharth Bahri,21-06-2025,633.28,56.22,689.5,Express,Carrier,Cash,Non-Dox
Meerut,Indore,16-06-2025,"Nadkarni, Ganesan and Rao",Meerut,Uttar Pradesh,4,1.24,3.11,3.11,Yes,16-06-2025,Agastya Nair,Indore,Madhya Pradesh,None,DTDC34357653,16-07-2025,BR752,Agastya Nair,21-06-2025,141.19,0,141.19,Surface,Carrier,Cash,Dox
Ludhiana,Thiruvananthapuram,13-06-2025,Qadim Khanna,Ludhiana,Punjab,2,9.02,9.57,9.57,No,13-06-2025,Nirja Patil,Thiruvananthapuram,Kerala,COD,DTDC86037575,13-07-2025,BR057,Nirja Patil,18-06-2025,679.85,32.48,712.33,Air Cargo,Carrier,Cash,Dox
Kochi,Shimla,10-06-2025,Kaul and Sons,Kochi,Kerala,5,4.22,4.96,4.96,No,10-06-2025,Tejas Desai,Shimla,Himachal Pradesh,COD,DTDC40053172,10-07-2025,BR967,Tejas Desai,15-06-2025,214.64,48.98,263.62,Surface,Carrier,Cash,Dox
Nagpur,Pune,01-07-2025,Aurora-Parsa,Nagpur,Maharashtra,5,0.51,2.84,2.84,Yes,01-07-2025,Sanaya Nair,Pune,Maharashtra,COD,DTDC02513283,31-07-2025,BR822,Sanaya Nair,05-07-2025,135.87,79.34,215.21,Surface,Carrier,Card,Non-Dox
Delhi,Aurangabad,17-06-2025,"Sunder, Nanda and Banerjee",Delhi,Delhi,4,5,6.02,6.02,Yes,17-06-2025,Nitesh Chakrabarti,Aurangabad,Maharashtra,None,DTDC25518983,17-07-2025,BR445,Nitesh Chakrabarti,20-06-2025,264.98,0,264.98,Surface,Carrier,Card,Non-Dox
Raipur,Vizag,29-06-2025,Sanya Agrawal,Raipur,Chhattisgarh,5,5.25,5.67,5.67,Yes,29-06-2025,Oviya Gaba,Vizag,Andhra Pradesh,None,DTDC49991826,29-07-2025,BR216,Oviya Gaba,01-07-2025,239.35,0,239.35,Surface,Carrier,Card,Non-Dox
Surat,Delhi,14-06-2025,Dugal-Garde,Surat,Gujarat,2,6.6,6.94,6.94,Yes,14-06-2025,Chakradev Patel,Delhi,Delhi,None,DTDC52822669,14-07-2025,BR203,Chakradev Patel,19-06-2025,647.12,0,647.12,Express,Carrier,Card,Dox
Amritsar,Nashik,16-06-2025,Talwar Ltd,Amritsar,Punjab,4,8.25,11.21,11.21,No,16-06-2025,Eta Kalita,Nashik,Maharashtra,COD,DTDC91565292,16-07-2025,BR804,Eta Kalita,19-06-2025,489.92,79.08,569,Surface,Carrier,Card,Non-Dox
Chennai,Bangalore,29-06-2025,Idika Krish,Chennai,Tamil Nadu,2,5.41,5.66,5.66,No,29-06-2025,Zayyan De,Bangalore,Karnataka,COD,DTDC02479186,29-07-2025,BR070,Zayyan De,01-07-2025,345.45,141.67,487.12,Air Cargo,Carrier,Cash,Non-Dox
Jamshedpur,Chandigarh,05-07-2025,Kalla Inc,Jamshedpur,Jharkhand,3,9.54,10.59,10.59,Yes,05-07-2025,Vyas Inc,Chandigarh,Chandigarh,COD,DTDC46463017,04-08-2025,BR906,Vyas Inc,10-07-2025,704.29,90.62,794.91,Air Cargo,Carrier,Cash,Non-Dox
Amritsar,Mumbai,04-07-2025,"Garde, Prashad and Tella",Amritsar,Punjab,1,1.05,2.42,2.42,No,04-07-2025,Radhakrishnan Group,Mumbai,Maharashtra,None,DTDC69292822,03-08-2025,BR996,Radhakrishnan Group,07-07-2025,111.66,0,111.66,Surface,Carrier,Card,Non-Dox
Surat,Pune,25-06-2025,Vasana Nayak,Surat,Gujarat,2,10.08,13.05,13.05,Yes,25-06-2025,Lekha Chauhan,Pune,Maharashtra,COD,DTDC17187677,25-07-2025,BR878,Lekha Chauhan,27-06-2025,631.56,92.44,724,Surface,Carrier,Cash,Non-Dox
Coimbatore,Kochi,15-06-2025,Wason LLC,Coimbatore,Tamil Nadu,2,10.86,11.94,11.94,No,15-06-2025,Bhatti LLC,Kochi,Kerala,None,DTDC26175696,15-07-2025,BR013,Bhatti LLC,17-06-2025,954.18,0,954.18,Express,Carrier,Card,Dox
Hyderabad,Coimbatore,12-06-2025,Mann-Chandran,Hyderabad,Telangana,4,8.92,11.31,11.31,Yes,12-06-2025,Manya Yogi,Coimbatore,Tamil Nadu,Insurance,DTDC47693516,12-07-2025,BR495,Manya Yogi,15-06-2025,717.43,37.95,755.38,Air Cargo,Carrier,Cash,Dox
Ludhiana,Bhopal,11-06-2025,Xalak D’Alia,Ludhiana,Punjab,5,8.05,8.48,8.48,Yes,11-06-2025,Rushil Datta,Bhopal,Madhya Pradesh,Express,DTDC34051376,11-07-2025,BR902,Rushil Datta,16-06-2025,356.91,47.65,404.56,Surface,Carrier,Cash,Dox
Vijayawada,Raipur,17-06-2025,Nicholas Bail,Vijayawada,Andhra Pradesh,2,9.85,10.53,10.53,Yes,17-06-2025,"Padmanabhan, Hayer and Raval",Raipur,Chhattisgarh,Express,DTDC85073698,17-07-2025,BR881,"Padmanabhan, Hayer and Raval",18-06-2025,731.15,64.1,795.25,Air Cargo,Carrier,Cash,Dox
Nagpur,Ludhiana,01-07-2025,Dutta-Badami,Nagpur,Maharashtra,3,4.39,4.91,4.91,No,01-07-2025,Girish Bhatt,Ludhiana,Punjab,COD,DTDC82205611,31-07-2025,BR176,Girish Bhatt,03-07-2025,208.81,75.46,284.27,Surface,Carrier,Cash,Non-Dox
Delhi,Chennai,16-06-2025,Dhaliwal-Grover,Delhi,Delhi,2,1.4,3.7,3.7,Yes,16-06-2025,Harshil Bava,Chennai,Tamil Nadu,COD,DTDC22355232,16-07-2025,BR872,Harshil Bava,18-06-2025,168.09,141.24,309.33,Surface,Carrier,Cash,Non-Dox
Raipur,Bangalore,09-06-2025,"Ganesan, Kaur and Hayre",Raipur,Chhattisgarh,3,9.56,11.79,11.79,No,09-06-2025,Advay Gera,Bangalore,Karnataka,COD,DTDC87495379,09-07-2025,BR467,Advay Gera,10-06-2025,1048.08,59.07,1107.15,Express,Carrier,Card,Non-Dox
Amritsar,Patna,28-06-2025,Wahab Bora,Amritsar,Punjab,4,7.12,9.02,9.02,No,28-06-2025,Nagi Group,Patna,Bihar,Express,DTDC00842138,28-07-2025,BR460,Nagi Group,01-07-2025,366.39,77.07,443.46,Surface,Carrier,Card,Dox
Ludhiana,Chandigarh,13-06-2025,Devi PLC,Ludhiana,Punjab,2,1.25,4.2,4.2,No,13-06-2025,Lakshit Pillai,Chandigarh,Chandigarh,COD,DTDC72640540,13-07-2025,BR304,Lakshit Pillai,14-06-2025,178.15,126.17,304.32,Surface,Carrier,Card,Non-Dox
Srinagar,Surat,18-06-2025,"Patil, Rajan and Bath",Srinagar,Jammu & Kashmir,1,9.9,10.42,10.42,Yes,18-06-2025,Ayaan Bansal,Surat,Gujarat,None,DTDC28252375,18-07-2025,BR712,Ayaan Bansal,23-06-2025,459.59,0,459.59,Surface,Carrier,Card,Dox
Patna,Kochi,17-06-2025,Ayushman Ganesh,Patna,Bihar,3,11.94,13.4,13.4,No,17-06-2025,Sengupta and Sons,Kochi,Kerala,COD,DTDC29062685,17-07-2025,BR192,Sengupta and Sons,22-06-2025,572.47,89.11,661.58,Surface,Carrier,Wallet,Non-Dox
Aurangabad,Kochi,27-06-2025,Sood-Ranganathan,Aurangabad,Maharashtra,1,2.71,2.87,2.87,No,27-06-2025,Maanas Mani,Kochi,Kerala,COD,DTDC22604228,27-07-2025,BR461,Maanas Mani,28-06-2025,137.39,134.71,272.1,Surface,Carrier,Cash,Non-Dox
Pune,Vijayawada,24-06-2025,Lila Oak,Pune,Maharashtra,1,3.65,4.6,4.6,Yes,24-06-2025,Aarini Char,Vijayawada,Andhra Pradesh,COD,DTDC58233121,24-07-2025,BR414,Aarini Char,28-06-2025,218.73,129.58,348.31,Surface,Carrier,Cash,Dox
Hyderabad,Agra,16-06-2025,Bachittar Oak,Hyderabad,Telangana,3,4.45,5.34,5.34,No,16-06-2025,Irya Khurana,Agra,Uttar Pradesh,COD,DTDC78778883,16-07-2025,BR852,Irya Khurana,18-06-2025,455.18,134.18,589.36,Express,Carrier,Card,Non-Dox
Thiruvananthapuram,Guwahati,22-06-2025,Sane PLC,Thiruvananthapuram,Kerala,3,11.33,14.25,14.25,No,22-06-2025,Prashad-Korpal,Guwahati,Assam,COD,DTDC11819503,22-07-2025,BR853,Prashad-Korpal,23-06-2025,675.11,71.19,746.3,Surface,Carrier,Cash,Dox
Srinagar,Lucknow,07-06-2025,Mohan-Ratti,Srinagar,Jammu & Kashmir,3,7.29,8.99,8.99,Yes,07-06-2025,Laksh Gopal,Lucknow,Uttar Pradesh,COD,DTDC01146363,07-07-2025,BR744,Laksh Gopal,12-06-2025,375.11,91.47,466.58,Surface,Carrier,Cash,Non-Dox
Coimbatore,Ludhiana,08-06-2025,Sanghvi-Mall,Coimbatore,Tamil Nadu,4,5.26,7.12,7.12,Yes,08-06-2025,"Lanka, Mukherjee and Chand",Ludhiana,Punjab,Express,DTDC02933290,08-07-2025,BR639,"Lanka, Mukherjee and Chand",12-06-2025,301.19,104.27,405.46,Surface,Carrier,Card,Non-Dox
Dehradun,Bangalore,11-06-2025,"Chaudhary, Korpal and Buch",Dehradun,Uttarakhand,3,11.73,14.63,14.63,No,11-06-2025,Yogi Inc,Bangalore,Karnataka,None,DTDC07360058,11-07-2025,BR719,Yogi Inc,14-06-2025,717.76,0,717.76,Surface,Carrier,Cash,Non-Dox
Vizag,Aurangabad,23-06-2025,Aayush Hari,Vizag,Andhra Pradesh,1,5.08,7.15,7.15,No,23-06-2025,Dhruv Kohli,Aurangabad,Maharashtra,COD,DTDC11888705,23-07-2025,BR892,Dhruv Kohli,26-06-2025,328.89,58.75,387.64,Surface,Carrier,Wallet,Dox
Chandigarh,Vizag,10-06-2025,"Ratta, Pandey and Nagy",Chandigarh,Chandigarh,1,11.67,12.78,12.78,Yes,10-06-2025,Ayaan Walia,Vizag,Andhra Pradesh,COD,DTDC76736219,10-07-2025,BR512,Ayaan Walia,15-06-2025,631.26,98.42,729.68,Surface,Carrier,Card,Non-Dox
Bhubaneswar,Dehradun,20-06-2025,Wali and Sons,Bhubaneswar,Odisha,3,1.49,1.62,1.62,Yes,20-06-2025,"Varughese, Kalita and Dugar",Dehradun,Uttarakhand,None,DTDC17512388,20-07-2025,BR016,"Varughese, Kalita and Dugar",24-06-2025,147.53,0,147.53,Express,Owner,Card,Dox
Vijayawada,Hyderabad,03-07-2025,Ben Group,Vijayawada,Andhra Pradesh,4,0.71,3.63,3.63,Yes,03-07-2025,Vanya Borde,Hyderabad,Telangana,None,DTDC13181110,02-08-2025,BR587,Vanya Borde,05-07-2025,256.93,0,256.93,Air Cargo,Carrier,Card,Non-Dox
Vijayawada,Chandigarh,19-06-2025,Balakrishnan PLC,Vijayawada,Andhra Pradesh,5,0.94,1.85,1.85,Yes,19-06-2025,Pooja Thakur,Chandigarh,Chandigarh,COD,DTDC75496977,19-07-2025,BR216,Pooja Thakur,20-06-2025,85.54,31.96,117.5,Surface,Carrier,Card,Dox
Surat,Bangalore,15-06-2025,Dayamai Sangha,Surat,Gujarat,4,6.09,8.96,8.96,Yes,15-06-2025,Toor LLC,Bangalore,Karnataka,None,DTDC76001447,15-07-2025,BR203,Toor LLC,16-06-2025,437.77,0,437.77,Surface,Carrier,Cash,Dox
Coimbatore,Agra,22-06-2025,Mohan Ltd,Coimbatore,Tamil Nadu,3,9.13,10.65,10.65,No,22-06-2025,Adweta Zachariah,Agra,Uttar Pradesh,COD,DTDC65986457,22-07-2025,BR951,Adweta Zachariah,26-06-2025,521.53,130.46,651.99,Surface,Carrier,Cash,Non-Dox
Delhi,Dehradun,11-06-2025,"Sant, Wason and Kale",Delhi,Delhi,4,4.99,7.29,7.29,Yes,11-06-2025,Bhavika Varty,Dehradun,Uttarakhand,None,DTDC80408745,11-07-2025,BR962,Bhavika Varty,16-06-2025,458.11,0,458.11,Air Cargo,Carrier,Card,Dox
Thiruvananthapuram,Kochi,16-06-2025,Iyer and Sons,Thiruvananthapuram,Kerala,2,1.43,1.89,1.89,No,16-06-2025,Sheth-Mohanty,Kochi,Kerala,Insurance,DTDC10509440,16-07-2025,BR665,Sheth-Mohanty,19-06-2025,80.66,62.53,143.19,Surface,Carrier,Cash,Dox
